"","Web.URL","Snippet","Lead.Paragraph","Abstract","Publish.Date","Doc.Type","Material.Type","id","Word.Count","Headline.Main","Headline.Kicker","URI","Content.Kicker","Print.Headline","Headline.Name","SEO","Headline.Sub"
"1","https://www.nytimes.com/1985/03/26/world/apartheid-foe-kept-out-of-township.html","A leading cleric who is a prominent foe of white minority rule in South Africa was turned back at gunpoint by the police today when he sought to enter the township here where at least 19 black people were shot by the police last week.     A police...","A leading cleric who is a prominent foe of white minority rule in South Africa was turned back at gunpoint by the police today when he sought to enter the township here where at least 19 black people were shot by the police last week. A policeman wielding a shotgun gave the cleric, the Rev. Allan Boesak, president of the World Alliance of Reformed Churches, a count of 10 to pull back 200 yards from the entrance of the township, called Langa. Last Thursday, it was the scene of the worst single mass shootings by the police since the Sharpeville massacre 25 years earlier. A second prominent cleric, the Rev. Beyers Naude, General Secretary of the South African Council of Churches, said he was also turned back by heavily armed police at nearby Kwanobuhle Township.",NA,"1985-03-26T00:00:00Z","article","News","4fd1403d8eb7c8105d617c5e",887,"APARTHEID FOE KEPT OUT OF TOWNSHIP",NA,NA,NA,NA,NA,NA,NA
"2","https://www.nytimes.com/1993/12/13/nyregion/giuliani-repeats-his-call-for-national-gun-licensing.html","Mayor-elect Rudolph W. Giuliani reiterated his call yesterday for a national system of gun licensing, and recommended marshaling local and Federal law-enforcement agencies to crack down on illegal gun trade.   Speaking on the CBS television show ""...","Mayor-elect Rudolph W. Giuliani reiterated his call yesterday for a national system of gun licensing, and recommended marshaling local and Federal law-enforcement agencies to crack down on illegal gun trade. Speaking on the CBS television show ""Face The Nation,"" Mr. Giuliani cautioned that gun licensing was not a cure-all. But he said that tighter restrictions on guns could help prevent crimes like the mass shooting on the Long Island Rail Road last week that left 6 people dead and 17 others wounded. 'Try to Fight Back' ""The simple fact is we have to try to fight back,"" Mr. Giuliani said. ""We just can't sit here and let this kind of carnage go on. Gun licensing would help. It would also help to have task forces of Federal, state and local police focus on guns and removing guns from some of the most dangerous criminals.""",NA,"1993-12-13T00:00:00Z","article","News","4fd1bf1b8eb7c8105d6ecc67",463,"Giuliani Repeats His Call for National Gun Licensing",NA,NA,NA,NA,NA,NA,NA
"3","https://www.nytimes.com/1993/12/19/us/fear-makes-powerful-sales-pitch-in-gun-shops-around-the-nation.html","Frightened by a spate of mass shootings and other seemingly random crimes and worried that new gun-control laws may make it all but impossible to obtain a firearm for self-defense or recreational use, many Americans are rushing to buy pistols, rif...","Frightened by a spate of mass shootings and other seemingly random crimes and worried that new gun-control laws may make it all but impossible to obtain a firearm for self-defense or recreational use, many Americans are rushing to buy pistols, rifles and shotguns. Firearms dealers, in informal interviews from coast to coast, reported a surge in sales in recent weeks, often to record levels.",NA,"1993-12-19T00:00:00Z","article","News","4fd1bc288eb7c8105d6e75d6",1312,"Fear Makes Powerful Sales Pitch In Gun Shops Around the Nation",NA,NA,NA,NA,NA,NA,NA
"4","https://www.nytimes.com/1998/10/01/world/war-crimes-panel-seeks-a-way-for-massacre-survivor-to-testify.html","Investigators were trying today to get the lone survivor of a mass shooting in Kosovo out of Serbia to testify about the killings at a war crimes tribunal.    The witness, about 35 years old, was among 14 ethnic Albanian men who were ordered to li...","Investigators were trying today to get the lone survivor of a mass shooting in Kosovo out of Serbia to testify about the killings at a war crimes tribunal. The witness, about 35 years old, was among 14 ethnic Albanian men who were ordered to lie face down against a fence and were systematically shot by one or more Serbs, said Western diplomats who interviewed the man on Tuesday. His identity was kept secret.","Investigators are trying to get lone survivor of mass shooting in Kosovo out of Serbia to testify about killings at war crimes tribunal; Western diplomats say unidentified witness was among 14 ethnic Albanians who were systematically shot by Serbs; two investigators from International War Crimes Tribunal are in Kosovo to look into matter, one of two executions of ethnic Albanians that witnesses say Serbian forces carried out in central Kosovo on Sept 26; 13 men were killed in village of Golubovac, while 18 members of extended family were killed near Gornji Obrinje; photo (M)","1998-10-01T00:00:00Z","article","News","4fd1e16c8eb7c8105d729d0e",1346,"War Crimes Panel Seeks a Way For Massacre Survivor to Testify",NA,NA,NA,NA,NA,NA,NA
"5","https://www.nytimes.com/1999/04/22/us/terror-in-littleton-the-school-good-grades-good-teams-and-some-bad-feelings.html","Columbine High School is like a lot of suburban high schools, proud of its high S.A.T. scores, proud of its winning sports teams. Last Friday the school had a giant pep rally, followed Saturday night by a junior-senior prom. Parents had raised $50...","Columbine High School is like a lot of suburban high schools, proud of its high S.A.T. scores, proud of its winning sports teams. Last Friday the school had a giant pep rally, followed Saturday night by a junior-senior prom. Parents had raised $50,000 for a no-alcohol after-prom party, to keep their children safe. It was the kind of school where a teacher last year assigned her students to read about the school shootings in Jonesboro, Ark., to help them understand the real world, because nothing like that could ever happen here. ''I thought we lived in a bubble,'' said Josiah Pina, an 18-year-old senior who played on the championship Rebels football team. And Columbine High School is like a lot of suburban high schools in other ways as well, its 1,870 students divided into a dozen groups, from the jocks and preps who rule the roost to stoners, skaters, freaks and, yes, the trench coat mafia. Among these latter groups, many have chafed for some time at the dominance and arrogance of the jocks. That is to say, Columbine is separated into cliques and classes and ins and outs, as complicated a place as the society beyond. ''There are cliques all over the place,'' said Meg Hains, 16, a sophomore. ''You can't go to high school without cliques.'' Meg and her friends Jessica Jones and Erin Brinkley, both 15, who gathered with her outside the high school today along with hundreds of other students to mourn the victims of the mass shooting by two members of the trench coat mafia, Eric Harris and Dylan Klebold, classified themselves as their own tiny group, ''the individuals.'' ''We're the outsiders,'' Meg said. The ''individuals'' shun the Gap and Abercrombie & Fitch, the labels favored by the jocks and preps. ''We vowed we would never wear Abercrombie,'' Jessica said, adding that she would not be able to afford the $30 shirts and the $25 hats even if she liked them. While Columbine is not so affluent as some other schools in the fast-growing prairie suburbs of Denver, there are plenty of students who can afford the labels, and who drive expensive cars. ''One jock has a Hummer,'' the huge, expensive and somewhat otherworldly-looking all-terrain vehicle, Jessica said. ''He totaled one Hummer, and his dad bought him another.'' Jessica, whose father owns a candy store and who does not have her own wheels, was complaining about how the jocks and the preps looked down on her and her friends when Emily Hackett, whose pale green Gap three-quarter-sleeve shirt, Silvertab by Levi jeans and American Eagle sandals clearly marked her as a prep, came up and threw her arms around her. They have been friends since seventh grade. ''People ask me, 'Why do you talk to her?' '' Emily said. ''I say, 'She's cool, she's my bud.' '' Glancing toward Emily, Erin said, ''There's some nice preps.'' Whatever the resentments and jealousies inside Columbine High School, the members of the different groups stood side by side on the grass today, weeping together, hugging and exchanging survivors' stories. Individuals, preps, jocks, freaks and skaters, the students all seemed unusually open and pleasant. They were polite to the huge media pack, patiently answering the same questions over and over. Even in their shock and grief, many were eager to talk about their school. ''Everyone knows Columbine in Colorado,'' said Amy Staley, who runs track and just made the cheerleading team. ''We always have the first- or second-highest S.A.T. scores in Jefferson County. The reason so many kids were in the library yesterday is because they care about their grades. Everyone is always going in there to read.'' Amy's friend Kim Mohrbacher, who was standing nearby, chimed in: ''Fifty kids in our school have straight A's. Over 200 have a 3.8.'' Amy's mother, Sandy Staley, arrived outside the school just as Amy and her friends were talking about academics. The events of Tuesday have not even begun to sink in, Mrs. Staley said. ''They're worried that if school is closed, they won't be able to get their grades up,'' she said. ''They were saying, 'Are we going to get stuck with the grades we have now?' If they have a B, they want to get it up to an A.'' As for safety, Mrs. Staley said she had never worried about violence at the school. ''It's a big deal when someone throws eggs at your house on Halloween,'' she said. Metal detectors? No one even thought about installing them at Columbine, she said. They were for urban schools. Columbine's male athletes, tall, muscular and radiating confidence and authority in their Abercrombie shirts and jeans, stood out in today's crowd. It was easy to imagine their inspiring envy among some of their less popular classmates. ''We'd be walking down the hall, and people would say, 'Stupid jocks,' '' said Brad Johnson, 18, a senior who played for the football and rugby teams. ''I guess it's because they weren't jocks.'' Jason and Justin Baer, 16-year-old twins, and their brother Jarett, 15, are not jocks. It can be hard not being one of them at a sports-minded school like Columbine, they said. ''At the beginning of the semester, they made me clear their table in the cafeteria,'' said Jarett, who had his blond hair in short gelled spikes at the front. ''I was like, 'No.' They were like, 'Do it now.' I just lived with it.'' Whatever group people belonged to, everyone was welcome at the after-prom party last weekend. The theme was ''New York, New York.'' The parents had worked on it for a year. Today people were talking about the party, and the pep rally that preceded it, as if they were events from a vanished innocence. ''It was perfect,'' said Richard Colbert, 16, who plays guitar for a Christian music group, Ten String Lyre. ''Nobody got high. The week before, everyone signed prom contracts, saying they wouldn't drink, or drink and drive.'' The year before, a student had been killed in a car accident after the prom. But this year no one got hurt. It was considered another Columbine triumph.","Columbine High School is like lot of suburban high schools, proud of its high SAT scores and of its winning sports teams; it is like lot of suburban high schools in other ways as well; its 1,870 students are separated into cliques and classes and ins and outs, as complicated place as society beyond; photo (M)","1999-04-22T00:00:00Z","article","News","4fd224de8eb7c8105d7ab9ac",1026,"Good Grades, Good Teams and Some Bad Feelings","TERROR IN LITTLETON: THE SCHOOL",NA,NA,NA,NA,NA,NA
"6","https://www.nytimes.com/1999/04/29/us/terror-in-littleton-the-debate-gun-control-advocates-split-on-tactics-for-goals.html","Gun control groups have seized on the mass shooting at Columbine High School as a new opportunity to gain command of the nation's firearms debate, but the moment has also intensified long-running divisions among the allies over the best way to red...","Gun control groups have seized on the mass shooting at Columbine High School as a new opportunity to gain command of the nation's firearms debate, but the moment has also intensified long-running divisions among the allies over the best way to reduce deaths from firearms. From whether to punish the parents of children who use guns in crimes to the effectiveness of safety locks, the groups are often at odds, their differences often reflecting their political orientation.","Gun control groups seize on mass shooting at Columbine High School in Littleton, Colo, as new opportunity to gain command of nation's firearms debate, but they are divided about best way to reduce deaths from firearms; some favor punishing parents of children who use guns in crimes, some want mandatory safety locks on guns, some favor total ban on handgun sales (M)","1999-04-29T00:00:00Z","article","News","4fd1e9178eb7c8105d73723f",977,"Gun Control Advocates Split on Tactics for Goals","TERROR IN LITTLETON: THE DEBATE",NA,NA,NA,NA,NA,NA
"7","https://www.nytimes.com/1999/04/30/us/terror-littleton-community-columbine-students-talk-disaster-life.html","Before the gunshots rang out in fifth period at Columbine High School on April 20, students there were busy with the everyday life of American teen-agers. Now, after a massacre that took 15 lives, including those of the two classmates who were the...","Before the gunshots rang out in fifth period at Columbine High School on April 20, students there were busy with the everyday life of American teen-agers. Now, after a massacre that took 15 lives, including those of the two classmates who were the gunmen, the students wonder where they and their school go on from here. Across the country, the mass shooting again raised questions about teen-agers and the often violent popular culture they are immersed in. What did the assault say about growing up today, the pressures of high school, the fragility of teen-age identity? Did it say anything at all?","Eight students from Columbine High School in Littleton, Colorado, discuss violence in their school and how it has changed way they look at world; several recall Eric Harris and Dylan Klebold, who carried out shootings; explain that accounts of so-called 'trench coat mafia' are much exaggerated, and that cliques at school are not as 'intense' as portrayed; eight are Devon Adams, Jessica Cave, Richard Colbert, Andrew Fraser, Meg Hains, Nick Jackson, Jeni LaPlante and Dustin Thurman; photos (M)","1999-04-30T00:00:00Z","article","News","4fd21ddc8eb7c8105d79eff2",3686,"Columbine Students Talk Of the Disaster and Life","TERROR IN LITTLETON: THE COMMUNITY",NA,NA,NA,NA,NA,NA
"8","https://www.nytimes.com/1999/05/20/us/justice-dept-reopens-case-on-demjanjuk-for-war-past.html","Reopening a case that has haunted the Justice Department for more than two decades, Federal prosecutors went to court today to try again to strip United States citizenship from John Demjanjuk, a retired auto-worker from Cleveland who the Governmen...","Reopening a case that has haunted the Justice Department for more than two decades, Federal prosecutors went to court today to try again to strip United States citizenship from John Demjanjuk, a retired auto-worker from Cleveland who the Government charged was a Nazi death camp guard. Nowhere in the civil complaint that could lead to Mr. Demjanjuk's deportation was there any mention of the charge at the heart of the Government's original case in 1977 against Mr. Demjanjuk -- that he was the sadistic gas chamber operator Ivan the Terrible, who slashed and beat thousands as he herded them to their deaths in World War II.","Justice Department launches new effort to strip John Demjanjuk, retired Cleveland automobile worker, of his US citizenship, accusing him of serving as guard at Nazi extermination camps in Poland and Germany and of being member of SS-run unit that took part in roundup of nearly two million Jews, who were killed in mass shootings or in gas chambers; does not allege that Demjanjuk was the notorious Ivan the Terrible of Treblinka death camp; that charge collapsed in 1993 in a shattering defeat for Justice Department (M)","1999-05-20T00:00:00Z","article","News","4fd2253d8eb7c8105d7ac252",622,"Justice Dept. Reopens Case On Demjanjuk for War Past",NA,NA,NA,NA,NA,NA,NA
"9","https://www.nytimes.com/1999/09/04/us/many-gop-governors-now-pushing-for-greater-gun-control.html","As each new high-profile shooting roils the national debate over gun ownership rights, advocates for greater gun control are winning a measure of support from Republican governors, an unlikely source.    After several shootings in recent years, in...","As each new high-profile shooting roils the national debate over gun ownership rights, advocates for greater gun control are winning a measure of support from Republican governors, an unlikely source. After several shootings in recent years, including the mass shooting at Columbine High School in Littleton, Colo., more than four months ago, almost a third of the nation's 31 Republican Governors have taken positions to strengthen gun control in their states.","Advocates for greater gun control win a measure of support from Republican governors, most of whom were strongly endorsed by National Rifle Association in their last campaign; photo (M)","1999-09-04T00:00:00Z","article","News","4fd210808eb7c8105d784fe3",1388,"Many G.O.P. Governors Now Pushing for Greater Gun Control",NA,NA,NA,NA,NA,NA,NA
"10","https://www.nytimes.com/1999/09/19/opinion/l-the-shooting-spree-next-door-573752.html","To the Editor:    In response to Gov. George W. Bush's remark, ''I wish I knew the law to make people love one another'' (news article, Sept. 17), I say, the answer is in his question.    If you want to end mass shootings,  you have to make someon...","To the Editor: In response to Gov. George W. Bush's remark, ''I wish I knew the law to make people love one another'' (news article, Sept. 17), I say, the answer is in his question. If you want to end mass shootings, you have to make someone do something: Make people get rid of guns. It's that simple.","Letters*","1999-09-19T00:00:00Z","article","Letter","4fd210808eb7c8105d784fd4",99,"The Shooting Spree Next Door",NA,NA,NA,NA,NA,NA,NA
